Year,Actress,Countries
1932,Helen Hayes,United States
1934,Katharine Hepburn,United States
1935,Paula Wessely,Austria
1936,Annabella,France
1937,Bette Davis,United States
1938,Norma Shearer,United States
1941,Luise Ullrich,Austria
1942,Kristina Söderbaum,Sweden
1947,Anna Magnani,Italy
1948,Jean Simmons,United Kingdom
1949,Olivia de Havilland,United States
1949,Olivia de Havilland,United Kingdom
1950,Eleanor Parker,United States
1951,Vivien Leigh,United Kingdom
1952,Ingrid Bergman,Sweden
1953,Lilli Palmer,Germany
1956,Maria Schell,Austria
1956,Maria Schell,Switzerland
1957,Dzidra Ritenberga,Russia
1958,Sophia Loren,Italy
1959,Madeleine Robinson,France
1960,Shirley MacLaine,United States
1961,Suzanne Flon,France
1962,Emmanuelle Riva,France
1963,Delphine Seyrig,France
1964,Harriet Andersson,Sweden
1965,Annie Girardot,France
1966,Natalya Arinbasarova,Russia
1967,Shirley Knight,United States
1968,Laura Betti,Italy
1983,Darling Légitimus,France
1984,Pascale Ogier,France
1986,Valeria Golino,Italy
1987,Soo-yeon Kang,South Korea
1988,Isabelle Huppert,France
1988,Shirley MacLaine,United States
1989,Peggy Ashcroft,United Kingdom
1989,Geraldine James,United Kingdom
1990,Gloria Münchmeyer,Chile
1991,Tilda Swinton,United Kingdom
1992,Gong Li,China
1993,Juliette Binoche,France
1993,Anna Bonaiuto,Italy
1994,Maria de Medeiros,Portugal
1994,Vanessa Redgrave,United Kingdom
1995,Isabelle Huppert,France
1995,Sandrine Bonnaire,France
1995,Isabella Ferrari,Italy
1996,Victoire Thivisol,France
1997,Robin Tunney,United States
1998,Catherine Deneuve,France
1999,Nathalie Baye,France
2000,Rose Byrne,Australia
2001,Sandra Ceccarelli,Italy
2002,Julianne Moore,United States
2003,Katja Riemann,Germany
2004,Imelda Staunton,United Kingdom
2005,Giovanna Mezzogiorno,Italy
2006,Helen Mirren,United Kingdom
2007,Cate Blanchett,Australia
2008,Dominique Blanc,France
2009,Kseniya Rappoport,Russia
2010,Ariane Labed,France
2011,Deanie Ip,Hong Kong
2012,Hadas Yaron,Israel
2013,Elena Cotta,Italy
2014,Alba Rohrwacher,Italy
2015,Valeria Golino,Italy
2016,Emma Stone,United States
2017,Charlotte Rampling,United Kingdom
2018,Olivia Colman,United Kingdom
2019,Ariane Ascaride,France
