Year	Actress	Countries
1946	Michèle Morgan	France
1949	Isa Miranda	Italy
1951	Bette Davis	United_States
1952	Lee Grant	United_States
1955	Elena Dobronravova	Russia
1955	Vera Kuznetsova	Russia
1955	Klara Luchko	Russia
1955	Ekaterina Savinova	Russia
1955	Iya Arepina	Russia
1955	Larisa Kronberg	Russia
1956	Susan Hayward	United_States
1957	Giulietta Masina	Italy
1958	Eva Dahlbeck	Sweden
1958	Bibi Andersson	Sweden
1958	Barbro Hiort af Ornäs	Sweden
1958	Ingrid Thulin	Sweden
1959	Simone Signoret	France
1960	Jeanne Moreau	France
1960	Melina Mercouri	Greece
1961	Sophia Loren	Italy
1962	Katharine Hepburn	United_States
1962	Rita Tushingham	United_Kingdom
1963	Marina Vlady	France
1964	Anne Bancroft	United_States
1964	Barbara Barrie	United_States
1965	Samantha Eggar	United_Kingdom
1966	Vanessa Redgrave	United_Kingdom
1967	Pia Degermark	Sweden
1969	Vanessa Redgrave	United_Kingdom
1970	Ottavia Piccolo	Italy
1971	Kitty Winn	United_States
1972	Susannah York	United_Kingdom
1973	Joanne Woodward	United_States
1974	Marie-José Nat	France
1975	Valérie Perrine	United_States
1976	Dominique Sanda	France
1976	Mari Törőcsik	Hungary
1977	Shelley Duvall	United_States
1977	Monique Mercure	Canada
1978	Jill Clayburgh	United_States
1978	Isabelle Huppert	France
1979	Sally Field	United_States
1980	Anouk Aimée	France
1981	Isabelle Adjani	France
1982	Jadwiga Jankowska-Cieślak	Poland
1983	Hanna Schygulla	Germany
1984	Helen Mirren	United_Kingdom
1985	Norma Aleandro	Argentina
1985	Cher	United_States
1986	Fernanda Torres	Brazil
1986	Barbara Sukowa	Germany
1987	Barbara Hershey	United_States
1988	Barbara Hershey	United_States
1988	Jodhi May	United_Kingdom
1988	Linda Mvusi	South Africa
1989	Meryl Streep	United_States
1990	Krystyna Janda	Poland
1991	Irène Jacob	France
1992	Pernilla August	Sweden
1993	Holly Hunter	United_States
1994	Virna Lisi	Italy
1995	Helen Mirren	United_Kingdom
1996	Brenda Blethyn	United_Kingdom
1997	Kathy Burke	United_Kingdom
1998	Élodie Bouchez	France
1998	Natacha Régnier	Belgium
1999	Séverine Caneele	Belgium
1999	Émilie Dequenne	Belgium
2000	Björk	Iceland
2001	Isabelle Huppert	France
2002	Kati Outinen	Finland
2003	Marie-Josée Croze	Canada
2004	Maggie Cheung	Hong_Kong
2005	Hanna Laslo	Israel
2006	Penélope Cruz	Spain
2006	Carmen Maura	Spain
2006	Lola Dueñas	Spain
2006	Blanca Portillo	Spain
2006	Yohana Cobo	Spain
2006	Chus Lampreave	Spain
2007	Jeon Do-yeon	South_Korea
2008	Sandra Corveloni	Brazil
2009	Charlotte Gainsbourg	France
2010	Juliette Binoche	France
2011	Kirsten Dunst	United_States Germany
2012	Cristina Flutur	Romania
2012	Cosmina Stratan	Romania
2013	Bérénice Bejo	France Argentina
2014	Julianne Moore	United_States
2015	Rooney Mara	United_States
2015	Emmanuelle Bercot	France
2016	Jaclyn Jose	Philippines
2017	Diane Kruger	Germany
2018	Samal Yeslyamova	Kazakhstan
2019	Emily Beecham	United_Kingdom United_States
