Year,Actress,Countries
1956,Elsa Martinelli,Italy
1957,Yvonne Mitchell,United Kingdom
1958,Anna Magnani,Italy
1959,Shirley MacLaine,United States of America
1960,Juliette Mayniel,France
1961,Anna Karina,France
1962,Rita Gam,United States of America
1962,Viveca Lindfors,Sweden|United States of America
1963,Bibi Andersson,Sweden
1964,Sachiko Hidari,Japan
1965,Madhur Jaffrey,India
1966,Lola Albright,United States of America
1967,Edith Evans,United Kingdom
1968,Stéphane Audran,France
1971,Simone Signoret,France
1971,Shirley MacLaine,United States of America
1972,Elizabeth Taylor,United States of America
1975,Kinuyo Tanaka,Japan
1976,Jadwiga Barańska,Poland
1977,Lily Tomlin,United States of America
1978,Gena Rowlands,United States of America
1979,Hanna Schygulla,Germany
1980,Renate Krößner,Germany
1981,Barbara Grabowska,Poland
1982,Katrin Saß,Germany
1983,Yevgeniya Glushenko,Russia
1984,Inna Churikova,Russia
1985,Jo Kennedy,Australia
1986,Charlotte Valandrey,France
1986,Marcélia Cartaxo,Brazil
1987,Ana Beatriz Nogueira,Brazil
1988,Holly Hunter,United States of America
1989,Isabelle Adjani,France
1991,Victoria Abril,Spain
1992,Maggie Cheung,Hong Kong
1993,Michelle Pfeiffer,United States of America
1994,Crissy Rock,United Kingdom
1995,Josephine Siao,Hong Kong
1996,Anouk Grinberg,France
1997,Juliette Binoche,France
1998,Fernanda Montenegro,Brazil
1999,Maria Schrader,Germany
1999,Juliane Köhler,Germany
2000,Bibiana Beglau,Germany
2000,Nadja Uhl,Germany
2001,Kerry Fox,New Zealand
2002,Halle Berry,United States of America
2003,Meryl Streep,United States of America
2003,Nicole Kidman,Australia|United States of America
2003,Julianne Moore,United States of America
2004,Catalina Sandino Moreno,Colombia
2004,Charlize Theron,South Africa
2005,Julia Jentsch,Germany
2006,Sandra Hüller,Germany
2007,Nina Hoss,Germany
2008,Sally Hawkins,United Kingdom
2009,Birgit Minichmayr,Austria
2010,Shinobu Terajima,Japan
2011,Leila Hatami,Iran
2011,Sareh Bayat,Iran
2011,Sarina Farhadi,Iran
2011,Kimia Hosseini,Iran
2011,Shirin Yazdanbakhsh,Iran
2012,Rachel Mwanza,Democratic Republic of the Congo
2013,Paulina García,Chile
2014,Haru Kuroki,Japan
2015,Charlotte Rampling,United Kingdom|France
2016,Trine Dyrholm,Denmark
2017,Kim Min-hee,South Korea
2018,Ana Brun,Paraguay
2019,Yong Mei,China
