Year	Actor	Countries
1932	Fredric March	United_States
1934	Wallace Beery	United_States
1935	Pierre Blanchar	France
1936	Paul Muni	United_States
1937	Emil Jannings	Germany
1938	Leslie Howard	United_Kingdom
1941	Ermete Zacconi	Italy
1942	Fosco Giachetti	Italy
1947	Pierre Fresnay	France
1948	Ernst Deutsch	Austria
1949	Joseph Cotten	United_States
1950	Sam Jaffe	United_States
1951	Jean Gabin	France
1952	Fredric March	United_States
1953	Henri Vilbert	France
1954	Jean Gabin	France
1955	Curd Jürgens	Austria Germany
1955	Kenneth More	United_Kingdom
1956	Bourvil	France
1957	Anthony Franciosa	United_States
1958	Alec Guinness	United_Kingdom
1959	James Stewart	United_States
1960	John Mills	United_Kingdom
1961	Toshirō Mifune	Japan
1962	Burt Lancaster	United_States
1963	Albert Finney	United_Kingdom
1964	Tom Courtenay	United_Kingdom
1965	Toshirō Mifune	Japan
1966	Jacques Perrin	France
1967	Ljubiša Samardžić	Yugoslavia
1968	John Marley	United_States
1983	Guy Boyd	United_States
1983	George Dzundza	United_States
1983	David Alan Grier	United_States
1983	Mitchell Lichtenstein	United_States
1983	Matthew Modine	United_States
1983	Michael Wright	United_States
1984	Naseeruddin Shah	India
1985	Gérard Depardieu	France
1986	Carlo Delle Piane	Italy
1987	Hugh Grant	United_Kingdom
1987	James Wilby	United_Kingdom
1988	Don Ameche	United_States
1988	Joe Mantegna	United_States
1989	Marcello Mastroianni	Italy
1988	Massimo Troisi	Italy
1990	Oleg Borisov	Russia
1991	River Phoenix	United_States
1992	Jack Lemmon	United_States
1993	Fabrizio Bentivoglio	Italy
1994	Xia Yu	China
1995	Götz George	Germany
1996	Liam Neeson	United_Kingdom
1997	Wesley Snipes	United_States
1998	Sean Penn	United_States
1999	Jim Broadbent	United_Kingdom
2000	Javier Bardem	Spain
2001	Luigi Lo Cascio	Italy
2002	Stefano Accorsi	Italy
2003	Sean Penn	United_States
2004	Javier Bardem	Spain
2005	David Strathairn	United_States
2006	Ben Affleck	United_States
2007	Brad Pitt	United_States
2008	Silvio Orlando	Italy
2009	Colin Firth	United_Kingdom
2010	Vincent Gallo	United_States
2011	Michael Fassbender	Ireland Germany
2012	Joaquin Phoenix	United_States
2012	Philip Seymour Hoffman	United_States
2013	Themis Panou	Greece
2014    Adam Driver United_States
2015	Fabrice Luchini	France
2016	Oscar Martínez	Argentina
2017	Kamel El Basha	Palestine
2018	Willem Dafoe	United_States
2019	Luca Marinelli	Italy
